getpwuid_r did not find a match for uid 501
Timestamp                       Thread     Type        Activity             PID    TTL  
2026-08-05 00:18:49.999663+0000 0x3115c    Default     0x0                  87751  0    OrcaSlicer: (BoardServices) [com.apple.BoardServices:XPCErrors] [C:1] Alloc com.apple.frontboard.systemappservices
2026-08-05 00:18:50.000330+0000 0x3115c    Default     0x0                  87751  0    OrcaSlicer: (libxpc.dylib) [com.apple.xpc:connection] [0x10b109290] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-08-05 00:18:50.010266+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (libxpc.dylib) [com.apple.xpc:connection] [0x10b109b00] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2026-08-05 00:18:50.011502+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (UIKitCore) [com.apple.UIKit:UIScreen] Evaluated capturing state as 0 on <UIScreen: 0x10b1093d0> for initial
2026-08-05 00:18:50.012329+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (UIKitCore) [com.apple.UIKit:UIScreen] Evaluated capturing state as 0 on <UIScreen: 0x10b1093d0> for CADisplay KVO
2026-08-05 00:18:50.013186+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (libMobileGestalt.dylib) No persisted cache on this platform.
2026-08-05 00:18:50.014374+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (libAccessibility.dylib) [com.apple.Accessibility:AXSupportCommon] Read CategoryName: per-app = 1, category name = (null)
2026-08-05 00:18:50.014707+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (libAccessibility.dylib) [com.apple.Accessibility:AXSupportCommon] Read CategoryName: per-app = 0, category name = (null)
2026-08-05 00:18:50.042947+0000 0x3115e    Default     0x0                  87751  0    OrcaSlicer: (BoardServices) [com.apple.BoardServices:XPCErrors] [C:2] Alloc com.apple.PointerUI.pointeruid.service
2026-08-05 00:18:50.043150+0000 0x3115e    Default     0x0                  87751  0    OrcaSlicer: (libxpc.dylib) [com.apple.xpc:connection] [0x10a6d65d0] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-08-05 00:18:50.043397+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (PrototypeTools) [PrototypeTools:domain] Not observing PTDefaults on customer install.
2026-08-05 00:18:50.047970+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UIApplicationSceneKeyboardSettings on FBSSceneSettings
2026-08-05 00:18:50.049319+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneOcclusionSettings> on FBSSceneSettings
2026-08-05 00:18:50.049551+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneInterfaceProtectionSettings> on FBSSceneSettings
2026-08-05 00:18:50.050095+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneLayoutPreferencesHostSettingsExtension on FBSSceneSettings
2026-08-05 00:18:50.050227+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneSafeAreaSettingsExtension on FBSSceneSettings
2026-08-05 00:18:50.050928+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneLayoutPreferenceClientSettingsExtension on FBSSceneClientSettings
2026-08-05 00:18:50.051211+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UIHomeAffordanceHostSceneSettings> on FBSSceneSettings
2026-08-05 00:18:50.051666+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISystemShellSceneHostingEnvironmentSettings on FBSSceneSettings
2026-08-05 00:18:50.052270+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneRenderingEnvironmentSettings on FBSSceneSettings
2026-08-05 00:18:50.052741+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneRenderingEnvironmentClientSettings> on FBSSceneClientSettings
2026-08-05 00:18:50.052870+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneTransitioningHostSettings> on FBSSceneSettings
2026-08-05 00:18:50.053372+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneFocusSystemSettings> on FBSSceneSettings
2026-08-05 00:18:50.053635+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneOrientationSettingsExtension on FBSSceneSettings
2026-08-05 00:18:50.053707+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneOrientationClientSettingsExtension on FBSSceneClientSettings
2026-08-05 00:18:50.053851+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneWindowingControlClientSettings on FBSSceneClientSettings
2026-08-05 00:18:50.054447+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension FBSSceneSettingsCore on FBSSceneSettings
2026-08-05 00:18:50.055838+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] UIApplicationSceneSettings setting counterpart class: UIMutableApplicationSceneSettings
2026-08-05 00:18:50.056189+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Should send trait collection or coordinate space update, interface style 1 -> 1, <_UIScreenBasedWindowScene: 0x10b0106e0> (96CCF457-69B6-4B6A-AB77-E5B1CBBC6F74)
2026-08-05 00:18:50.056378+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Should send trait collection or coordinate space update, interface style 1 -> 1, <_UIScreenBasedWindowScene: 0x10b0106e0> (96CCF457-69B6-4B6A-AB77-E5B1CBBC6F74)
2026-08-05 00:18:50.057492+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (UIKitCore) [com.apple.UIKit:HomeAffordanceObservation] Initializing: <_UIHomeAffordanceSceneNotifier: 0x600002914230>; with scene: <_UIScreenBasedWindowScene: 0x10b0106e0>
2026-08-05 00:18:50.057850+0000 0x31135    Default     0x0                  87751  1    OrcaSlicer: (UIKitCore) [com.apple.UIKit:EventDeferring] [0x600002914380] Initialized with scene: <_UIScreenBasedWindowScene: 0x10b0106e0>; behavior: <_UIEventDeferringBehavior_iOS: 0x6000002431a0>; availableForProcess: 1, systemShellManagesKeyboardFocus: 0
2026-08-05 00:18:50.058161+0000 0x31135    Default     0x0                  87751  1    OrcaSlicer: (UIKitCore) [com.apple.UIKit:KeyWindow] Setting default evaluation strategy for UIUserInterfaceIdiomPad to LastOneWins
2026-08-05 00:18:50.060496+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (BoardServices) [com.apple.BoardServices:XPCErrors] [C:3] Alloc com.apple.backboard.hid-services.xpc
2026-08-05 00:18:50.060567+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (libxpc.dylib) [com.apple.xpc:connection] [0x10b10ac60] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-08-05 00:18:50.061791+0000 0x3115e    Default     0x0                  87751  0    OrcaSlicer: (BackBoardServices) [com.apple.BackBoard:EventDelivery] BKSHIDEventObserver - connection activation
2026-08-05 00:18:50.061806+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (BackBoardServices) [com.apple.BackBoard:EventDelivery] policyStatus:<BKSHIDEventDeliveryPolicyObserver: 0x60000261e3a0; process scope; status: target> was:none
2026-08-05 00:18:50.061912+0000 0x31135    Default     0x0                  87751  0    OrcaSlicer: (BackBoardServices) [com.apple.BackBoard:EventDelivery] policyStatus:<BKSHIDEventDeliveryPolicyObserver: 0x60000261e3a0; display: builtin; environment: keyboardFocus; token: 0xA57CFD1D; status: none> was:target
2026-08-05 00:18:50.065079+0000 0x31135    Default     0x0                  87751  1    OrcaSlicer: (UIKitCore) [com.apple.UIKit:KeyWindow] Key window API is scene-level: YES
2026-08-05 00:18:50.065346+0000 0x31135    Default     0x0                  87751  1    OrcaSlicer: (UIKitCore) [com.apple.UIKit:KeyWindow] _UIScreenBasedWindowScene: 0x10b0106e0: Window became key in scene: _UIAlertControllerShimPresenterWindow: 0x10b014290; contextId: 0xA57CFD1D: reason: _UIScreenBasedWindowScene: 0x10b0106e0: Window requested to become key in scene: 0x10b014290
2026-08-05 00:18:50.065514+0000 0x31135    Default     0x0                  87751  1    OrcaSlicer: (UIKitCore) [com.apple.UIKit:KeyWindow] Key window needs update: 1; currentKeyWindowScene: 0x0; evaluatedKeyWindowScene: 0x10b0106e0; currentApplicationKeyWindow: 0x0; evaluatedApplicationKeyWindow: 0x10b014290; reason: _UIScreenBasedWindowScene: 0x10b0106e0: Window requested to become key in scene: 0x10b014290
2026-08-05 00:18:50.065578+0000 0x31135    Default     0x0                  87751  1    OrcaSlicer: (UIKitCore) [com.apple.UIKit:KeyWindow] Window did become application key: _UIAlertControllerShimPresenterWindow: 0x10b014290; contextId: 0xA57CFD1D; scene identity: (nil)
2026-08-05 00:18:50.065712+0000 0x31135    Default     0x0                  87751  1    OrcaSlicer: (UIKitCore) [com.apple.UIKit:EventDeferring] [0x600002914380] Begin local event deferring requested for token: 0x60000261daa0; environments: 1; reason: _UIScreenBasedWindowScene: 0x10b0106e0: Begin event deferring in keyboardFocus for window: 0x10b014290
2026-08-05 00:18:50.067403+0000 0x3115e    Default     0x0                  87751  0    OrcaSlicer: (BackBoardServices) [com.apple.BackBoard:EventDelivery] BKSHIDEventDeliveryManager - connection activation
2026-08-05 00:18:50.067798+0000 0x31135    Default     0x0                  87751  1    OrcaSlicer: (UIKitCore) [com.apple.UIKit:KeyWindow] Key window needs update: 0; currentKeyWindowScene: 0x10b0106e0; evaluatedKeyWindowScene: 0x10b0106e0; currentApplicationKeyWindow: 0x10b014290; evaluatedApplicationKeyWindow: 0x10b014290; reason: <_UIScreenBasedWindowScene: 0x10b0106e0>: Key window changed visibility: 0x10b014290
2026-08-05 00:18:50.089329+0000 0x3115c    Default     0x0                  87751  0    OrcaSlicer: (libxpc.dylib) [com.apple.xpc:connection] [0x10b10cd80] activating connection: mach=true listener=false peer=false name=com.apple.fontservicesd
